ci_initial,ci_final,elapsed_time,iterations
2,0,0.2056107521057129,26
1,1,0.10292363166809082,30
2,1,0.1325380802154541,42
1,0,0.11088418960571289,16
1,1,0.11062216758728027,24
1,0,0.11323261260986328,34
0,0,0.09770989418029785,6
1,1,0.09266185760498047,6
1,1,0.10582542419433594,11
1,1,0.10080099105834961,6
1,1,0.09996342658996582,8
1,1,0.10384440422058105,13
1,1,0.11257481575012207,8
1,1,0.1130685806274414,5
0,0,0.09939694404602051,8
1,1,0.09466099739074707,6
2,2,0.10763978958129883,16
1,1,0.1035923957824707,25
1,0,0.10959601402282715,15
1,1,0.10451984405517578,26
2,1,0.10860252380371094,23
1,0,0.11661195755004883,26
1,0,0.10434627532958984,19
2,1,0.11022591590881348,42
0,0,0.10471343994140625,7
1,1,0.10474538803100586,13
1,0,0.09966301918029785,18
1,1,0.10460591316223145,8
2,2,0.10984683036804199,22
2,2,0.10128664970397949,10
1,0,0.13007473945617676,26
1,1,0.10874199867248535,10
1,1,0.13416004180908203,16
1,1,0.13283777236938477,16
1,1,0.1165323257446289,22
1,1,0.10220789909362793,6
2,2,0.1050560474395752,11
2,2,0.10011911392211914,20
1,1,0.10730886459350586,9
1,1,0.12048196792602539,8
1,1,0.11115097999572754,25
1,1,0.10075616836547852,6
1,1,0.10787439346313477,19
1,1,0.10388040542602539,6
1,0,0.10880756378173828,11
0,0,0.10192728042602539,6
2,2,0.11366677284240723,18
1,1,0.09296607971191406,6
2,1,0.12282800674438477,25
2,1,0.11212825775146484,20
1,1,0.09940433502197266,9
1,0,0.10519719123840332,15
0,0,0.09483027458190918,6
2,2,0.1034853458404541,10
1,1,0.10586285591125488,13
1,1,0.11029815673828125,23
1,0,0.1139063835144043,21
1,1,0.1098780632019043,16
1,0,0.11060857772827148,22
1,1,0.09668159484863281,10
1,0,0.10076522827148438,32
1,1,0.10233235359191895,11
2,1,0.09820055961608887,18
2,1,0.09612441062927246,12
2,2,0.11924576759338379,12
2,2,0.11487221717834473,25
1,1,0.12758827209472656,19
1,1,0.10529112815856934,9
1,1,0.11527156829833984,7
1,0,0.10534787178039551,30
2,1,0.11784791946411133,33
1,0,0.10863471031188965,23
1,0,0.10609579086303711,22
1,1,0.1080770492553711,13
1,1,0.10030555725097656,10
0,0,0.11192536354064941,7
2,1,0.12005400657653809,23
0,0,0.10454106330871582,6
1,1,0.10828733444213867,10
2,1,0.10634231567382812,36
2,1,0.10570907592773438,23
1,0,0.11425566673278809,27
2,1,0.10793876647949219,29
1,0,0.11594271659851074,31
1,1,0.10609889030456543,13
1,1,0.2105872631072998,17
1,0,0.13953065872192383,13
0,0,0.10675883293151855,7
2,2,0.10410380363464355,15
0,0,0.10750579833984375,6
2,0,0.11151909828186035,22
1,1,0.12779879570007324,19
0,0,0.10511183738708496,6
1,1,0.11840701103210449,22
0,0,0.10955119132995605,6
1,1,0.1108086109161377,18
2,1,0.10737442970275879,19
1,1,0.11174845695495605,18
2,2,0.1051633358001709,18
2,1,0.1245124340057373,31
2,1,0.11495399475097656,31
1,1,0.10392260551452637,18
0,0,0.11598849296569824,7
0,0,0.10039687156677246,7
2,2,0.10877871513366699,16
2,1,0.11492085456848145,22
2,1,0.10938906669616699,15
1,1,0.11075425148010254,14
1,0,0.10338401794433594,11
1,1,0.09966301918029785,12
1,0,0.1156761646270752,22
1,1,0.10652303695678711,11
1,0,0.12894606590270996,13
1,1,0.10950469970703125,10
2,1,0.11487174034118652,32
1,1,0.1070244312286377,21
1,1,0.10226154327392578,5
2,2,0.09901642799377441,8
1,1,0.10843133926391602,7
1,1,0.10234475135803223,9
2,1,0.15375661849975586,13
1,1,0.14568591117858887,8
1,0,0.21469449996948242,10
2,1,0.1969435214996338,13
1,1,0.12052321434020996,27
1,1,0.10716104507446289,7
1,1,0.1192941665649414,7
2,1,0.10900306701660156,24
1,0,0.11431765556335449,37
1,0,0.11362743377685547,24
1,1,0.10310125350952148,15
1,1,0.11070489883422852,6
1,1,0.10761690139770508,17
1,1,0.1099698543548584,30
2,2,0.10575413703918457,29
1,1,0.10834240913391113,7
1,1,0.11903762817382812,11
1,1,0.11879420280456543,9
2,1,0.16640257835388184,21
1,1,0.11485695838928223,10
1,1,0.11150574684143066,10
1,1,0.12230229377746582,24
1,1,0.11012864112854004,12
0,0,0.21799254417419434,7
2,0,0.9023289680480957,48
1,1,0.17227387428283691,15
0,0,0.1051175594329834,6
1,0,0.12712669372558594,19
1,1,0.11985564231872559,23
2,1,0.1112210750579834,22
1,0,0.11522769927978516,29
1,0,0.1065821647644043,13
2,2,0.09699726104736328,7
1,1,0.13603878021240234,14
2,1,0.11238455772399902,35
1,1,0.10118603706359863,16
1,1,0.10271143913269043,10
2,1,0.10628628730773926,13
1,1,0.1077280044555664,7
0,0,0.10926532745361328,6
1,1,0.10010123252868652,7
1,1,0.11139225959777832,12
2,1,0.12905645370483398,22
1,1,0.10936403274536133,18
1,1,0.11630988121032715,10
1,0,0.10554671287536621,21
1,1,0.10978531837463379,17
2,1,0.11520600318908691,17
1,0,0.10883283615112305,14
1,1,0.10511255264282227,10
1,1,0.10459399223327637,19
1,1,0.1611626148223877,10
1,1,0.12055850028991699,14
0,0,0.11491847038269043,9
1,1,0.12329530715942383,24
2,2,0.10903549194335938,31
1,1,0.10973882675170898,27
1,1,0.11665034294128418,42
1,0,0.10004901885986328,11
1,1,0.10696721076965332,11
0,0,0.11390304565429688,8
1,1,0.09900307655334473,6
1,1,0.11827325820922852,12
2,1,0.10512113571166992,18
2,1,0.1121513843536377,48
0,0,0.10069084167480469,7
1,1,0.10947060585021973,19
1,1,0.10360217094421387,7
2,1,0.1313328742980957,25
1,1,0.11707830429077148,9
1,0,0.1033329963684082,16
1,0,0.11058926582336426,13
1,0,0.10236024856567383,24
1,1,0.10561180114746094,23
0,0,0.11213278770446777,9
2,1,0.10382699966430664,13
1,1,0.11015534400939941,10
1,1,0.13925528526306152,27
1,0,0.1192317008972168,12
1,1,0.10761094093322754,12
2,1,0.11159753799438477,21
1,1,0.10946273803710938,26
1,0,0.12425613403320312,26
1,1,0.10033178329467773,12
0,0,0.10154485702514648,5
1,1,0.10673999786376953,16
2,1,0.1149594783782959,23
2,1,0.11268997192382812,18
2,1,0.1011664867401123,16
0,0,0.11069846153259277,7
1,1,0.10301661491394043,13
1,1,0.10964632034301758,5
1,1,0.10567140579223633,31
1,0,0.11407756805419922,14
0,0,0.1135258674621582,7
2,2,0.10522341728210449,11
1,0,0.11003327369689941,14
2,1,0.11412763595581055,9
0,0,0.10259485244750977,7
2,1,0.11287665367126465,10
1,0,0.12089323997497559,12
1,1,0.10124063491821289,18
0,0,0.09787607192993164,6
0,0,0.09604191780090332,7
1,1,0.10026264190673828,9
0,0,0.12559986114501953,9
1,0,0.10819578170776367,13
1,1,0.09881472587585449,8
1,1,0.10907936096191406,19
0,0,0.10830283164978027,8
1,1,0.10449457168579102,13
1,1,0.09568262100219727,12
1,1,0.1357102394104004,24
1,0,0.10639739036560059,14
1,1,0.11191153526306152,26
1,1,0.10960865020751953,5
1,1,0.11022043228149414,11
1,1,0.11113715171813965,10
1,1,0.11140632629394531,12
1,1,0.11188054084777832,10
0,0,0.10276007652282715,6
1,1,0.11781525611877441,15
1,1,0.10517501831054688,12
1,1,0.11635589599609375,27
1,1,0.09822344779968262,7
1,1,0.11053657531738281,13
1,0,0.10512471199035645,15
1,1,0.10601091384887695,7
1,1,0.10956954956054688,10
0,0,0.11017513275146484,8
1,1,0.10070514678955078,5
1,1,0.1491544246673584,12
1,1,0.13949251174926758,21
1,1,0.11387872695922852,14
2,1,0.13127923011779785,15
1,1,0.11073112487792969,25
1,1,0.11926412582397461,18
1,1,0.10459136962890625,24
1,1,0.09859681129455566,6
1,1,0.10077285766601562,18
2,1,0.13793039321899414,52
0,0,0.10668182373046875,7
2,1,0.11661458015441895,28
1,0,0.10021805763244629,14
1,1,0.10740947723388672,19
1,1,0.09524154663085938,9
0,0,0.10502982139587402,5
2,1,0.10787844657897949,14
1,1,0.1083993911743164,8
1,1,0.11409854888916016,8
1,0,0.10710358619689941,16
