ci_initial,ci_final,elapsed_time,iterations
14,1,0.1605854034423828,38
14,2,0.03021073341369629,20
14,1,0.02136826515197754,46
14,1,0.02399921417236328,21
14,1,0.015251636505126953,30
14,0,0.019794940948486328,22
14,1,0.013331174850463867,21
14,1,0.03710484504699707,48
14,1,0.015931367874145508,33
14,1,0.01564764976501465,25
14,1,0.015837430953979492,31
14,1,0.014135122299194336,27
14,1,0.03007340431213379,17
14,1,0.03147554397583008,53
14,1,0.01777338981628418,28
14,2,0.024059057235717773,38
14,1,0.015089988708496094,30
14,2,0.014873743057250977,18
14,1,0.01486063003540039,16
14,1,0.01564335823059082,25
14,0,0.02038431167602539,22
14,1,0.033937931060791016,71
14,1,0.014205694198608398,22
14,1,0.030283689498901367,31
14,1,0.013207435607910156,16
14,1,0.012127161026000977,17
14,2,0.02492690086364746,55
14,2,0.01717972755432129,32
14,1,0.031127214431762695,27
14,1,0.023786067962646484,30
14,2,0.013072013854980469,21
14,1,0.015511274337768555,27
14,1,0.027802467346191406,44
14,1,0.02265334129333496,26
14,2,0.017330169677734375,32
14,1,0.012593269348144531,19
14,1,0.01932692527770996,24
14,1,0.01811051368713379,33
14,1,0.027790307998657227,46
14,2,0.021186113357543945,24
14,2,0.02097344398498535,29
14,2,0.013773918151855469,26
14,2,0.06325292587280273,20
14,2,0.015839099884033203,26
14,2,0.033507585525512695,34
14,2,0.024152040481567383,29
14,1,0.024528980255126953,54
14,2,0.02512669563293457,40
14,1,0.01185750961303711,19
14,1,0.013892173767089844,18
14,1,0.03007960319519043,34
14,1,0.025368452072143555,46
14,1,0.018011093139648438,40
14,1,0.01273655891418457,21
14,1,0.04660224914550781,30
14,0,0.016002178192138672,27
14,1,0.018039703369140625,35
14,1,0.02562999725341797,34
14,2,0.027341365814208984,29
14,2,0.016365766525268555,32
14,1,0.017406225204467773,29
14,2,0.02487325668334961,44
14,1,0.034793853759765625,69
14,0,0.018138647079467773,37
14,1,0.02568793296813965,31
14,1,0.03211021423339844,39
14,1,0.02396416664123535,57
14,2,0.029298067092895508,50
14,2,0.021004199981689453,28
14,2,0.015290975570678711,15
14,2,0.014772176742553711,17
14,1,0.012279748916625977,21
14,2,0.01629948616027832,28
14,1,0.027103185653686523,48
14,1,0.014636754989624023,22
14,2,0.015625476837158203,18
14,1,0.023847103118896484,34
14,1,0.015475034713745117,31
14,2,0.014360666275024414,17
14,1,0.025865793228149414,30
14,2,0.012800455093383789,22
14,1,0.02362060546875,45
14,1,0.02265334129333496,34
14,1,0.015716075897216797,20
14,1,0.014001131057739258,23
14,1,0.022514820098876953,35
14,2,0.011991500854492188,19
14,1,0.03150033950805664,27
14,1,0.015837430953979492,27
14,2,0.023069143295288086,33
14,1,0.012668132781982422,22
14,1,0.025115251541137695,40
14,2,0.01798534393310547,34
14,1,0.025767803192138672,21
14,1,0.01785731315612793,37
14,1,0.014486312866210938,19
14,2,0.016205549240112305,32
14,2,0.016057491302490234,32
14,2,0.021795988082885742,21
14,1,0.03660249710083008,60
14,1,0.022046566009521484,19
14,1,0.029194355010986328,42
14,2,0.0201413631439209,22
14,1,0.018561601638793945,37
14,1,0.019353628158569336,40
14,1,0.027187108993530273,36
14,1,0.023868799209594727,29
14,1,0.023266315460205078,52
14,2,0.01134490966796875,17
14,1,0.016623735427856445,28
14,1,0.016111135482788086,30
14,1,0.0160830020904541,25
14,1,0.01318359375,23
14,2,0.029179096221923828,38
14,2,0.018421411514282227,35
14,2,0.01852107048034668,17
14,1,0.03133058547973633,60
14,1,0.023514747619628906,30
14,1,0.016033649444580078,31
14,2,0.022455215454101562,42
14,1,0.025325536727905273,59
14,1,0.022981643676757812,26
14,1,0.02367997169494629,28
14,2,0.017518043518066406,29
14,1,0.016790151596069336,32
14,2,0.02181696891784668,30
14,1,0.026046276092529297,30
14,2,0.0209200382232666,44
14,2,0.015700340270996094,31
14,1,0.017766237258911133,22
14,1,0.016104698181152344,33
14,1,0.0183713436126709,34
14,1,0.016962528228759766,31
14,1,0.025124311447143555,39
14,1,0.015074491500854492,25
14,1,0.026787757873535156,42
14,1,0.023211956024169922,29
14,1,0.026333332061767578,31
14,1,0.01633930206298828,34
14,0,0.012324810028076172,15
14,2,0.016835927963256836,34
14,1,0.013194084167480469,19
14,1,0.02639317512512207,37
14,0,0.024743080139160156,26
14,2,0.020345211029052734,39
14,2,0.012161970138549805,18
14,1,0.024334192276000977,31
14,1,0.014434099197387695,28
14,2,0.014739036560058594,21
14,1,0.030760765075683594,75
14,1,0.0179140567779541,19
14,2,0.018840789794921875,43
14,2,0.016618728637695312,20
14,2,0.01904153823852539,42
14,2,0.013900041580200195,25
14,1,0.023050785064697266,39
14,1,0.03695321083068848,34
14,2,0.016841888427734375,27
14,1,0.019666671752929688,25
14,1,0.019518375396728516,37
14,1,0.02449798583984375,46
14,2,0.035028696060180664,49
14,2,0.020346641540527344,40
14,1,0.028551340103149414,49
14,0,0.0179898738861084,34
14,1,0.019518136978149414,22
14,1,0.020394563674926758,31
14,2,0.01765918731689453,29
14,1,0.01546478271484375,31
14,1,0.02342963218688965,46
14,1,0.0393679141998291,47
14,1,0.022902488708496094,48
14,1,0.01300811767578125,24
14,1,0.029879331588745117,63
14,0,0.02509331703186035,33
14,1,0.020548343658447266,25
14,1,0.02391219139099121,31
14,2,0.012667417526245117,21
14,1,0.019477367401123047,24
14,2,0.018901348114013672,22
14,0,0.01465606689453125,29
14,2,0.017010927200317383,20
14,1,0.01656508445739746,34
14,1,0.018981456756591797,25
14,2,0.023154258728027344,31
14,1,0.022544384002685547,37
14,1,0.022214889526367188,47
14,1,0.04095959663391113,61
14,2,0.018820762634277344,17
14,2,0.016536712646484375,21
14,1,0.027450084686279297,34
14,1,0.017722368240356445,34
14,1,0.030851364135742188,36
14,2,0.021992921829223633,30
14,2,0.012146472930908203,15
14,1,0.012596368789672852,21
14,2,0.015801191329956055,33
14,1,0.013854742050170898,20
14,1,0.02970266342163086,29
14,1,0.053197383880615234,65
14,1,0.01419687271118164,25
14,1,0.01809406280517578,18
14,1,0.015984773635864258,30
14,1,0.03742575645446777,34
14,1,0.025896787643432617,42
14,0,0.021638870239257812,42
14,1,0.017798185348510742,33
14,1,0.017526865005493164,32
14,1,0.02739429473876953,40
14,1,0.021531105041503906,49
14,2,0.01790761947631836,38
14,2,0.024219512939453125,34
14,1,0.03173708915710449,49
14,0,0.018355607986450195,23
14,1,0.02484869956970215,39
14,1,0.014166116714477539,26
14,1,0.025844335556030273,52
14,0,0.018906116485595703,38
14,1,0.02086806297302246,18
14,1,0.01641678810119629,32
14,1,0.018006086349487305,19
14,2,0.011729001998901367,16
14,0,0.020700454711914062,39
14,1,0.0175936222076416,26
14,2,0.01316690444946289,20
14,1,0.029208660125732422,28
14,1,0.02155447006225586,34
14,2,0.016777753829956055,15
14,0,0.015158653259277344,29
14,0,0.022537946701049805,29
14,1,0.04193520545959473,79
14,0,0.013909339904785156,21
14,2,0.019321203231811523,23
14,1,0.016375303268432617,29
14,1,0.0381314754486084,68
14,1,0.016277074813842773,31
14,1,0.02720475196838379,53
14,1,0.016807079315185547,32
14,2,0.020449161529541016,29
14,1,0.016840219497680664,26
14,1,0.019722938537597656,20
14,1,0.017668962478637695,33
14,2,0.013416051864624023,21
14,2,0.023138761520385742,35
14,2,0.011759281158447266,19
14,1,0.0171053409576416,19
14,1,0.012729644775390625,20
14,0,0.01903247833251953,40
14,1,0.033391475677490234,54
14,3,0.018468856811523438,22
14,1,0.024367332458496094,60
14,2,0.02330780029296875,32
14,0,0.01813530921936035,40
14,1,0.023039817810058594,46
14,1,0.02425980567932129,36
14,0,0.019532203674316406,24
14,2,0.017281532287597656,38
14,1,0.012167930603027344,16
14,1,0.01676321029663086,27
14,2,0.021059274673461914,41
14,1,0.021976470947265625,29
14,1,0.02225208282470703,25
14,2,0.01778578758239746,30
14,1,0.01537775993347168,28
14,1,0.023650407791137695,36
14,1,0.015278339385986328,30
14,1,0.01661515235900879,24
14,1,0.015339851379394531,28
14,1,0.015821456909179688,31
14,2,0.01671767234802246,23
14,2,0.012994050979614258,21
14,1,0.022579193115234375,35
14,1,0.03308916091918945,79
14,2,0.01255488395690918,19
14,1,0.015991926193237305,33
14,1,0.019094467163085938,30
14,0,0.014029264450073242,26
14,1,0.01675868034362793,33
14,1,0.02846837043762207,39
14,1,0.020682334899902344,24
14,1,0.028989315032958984,45
14,1,0.022763490676879883,34
14,2,0.01702141761779785,37
14,1,0.014513254165649414,19
14,2,0.017663002014160156,29
14,1,0.03763866424560547,70
14,1,0.013258218765258789,21
14,1,0.018559694290161133,21
14,1,0.014124393463134766,27
14,1,0.017156362533569336,38
14,1,0.018837451934814453,28
14,1,0.014366865158081055,22
14,1,0.02335953712463379,39
14,1,0.01602625846862793,29
14,1,0.012555837631225586,20
14,1,0.015447378158569336,28
14,2,0.011968851089477539,17
14,2,0.02616405487060547,33
14,1,0.016467571258544922,20
14,1,0.012865066528320312,19
14,1,0.016477108001708984,29
14,1,0.012494564056396484,21
14,1,0.01598525047302246,16
14,2,0.018018245697021484,21
14,2,0.01848578453063965,32
14,1,0.015418529510498047,20
14,2,0.015131711959838867,29
14,2,0.01810169219970703,28
14,1,0.027699708938598633,33
14,1,0.02690887451171875,32
14,2,0.01857900619506836,38
14,1,0.041375160217285156,49
14,2,0.022075176239013672,24
14,1,0.02525019645690918,49
14,2,0.01902461051940918,23
14,1,0.0176849365234375,25
14,1,0.02720332145690918,30
14,1,0.024042844772338867,44
14,1,0.01639866828918457,24
14,1,0.01454615592956543,26
14,1,0.03548622131347656,74
14,1,0.028777360916137695,43
14,1,0.024660825729370117,54
14,0,0.021046161651611328,39
14,1,0.015929460525512695,28
14,1,0.031159400939941406,55
14,1,0.024349212646484375,33
14,1,0.016415119171142578,32
14,1,0.021236419677734375,48
14,0,0.01893019676208496,25
14,1,0.02847743034362793,52
14,1,0.012285470962524414,16
14,2,0.016994953155517578,26
14,1,0.02948904037475586,49
14,2,0.025428056716918945,37
14,1,0.02454209327697754,57
14,2,0.023746013641357422,26
14,1,0.020021677017211914,45
14,2,0.014737606048583984,24
14,1,0.014309167861938477,15
14,0,0.014975547790527344,28
14,2,0.017620086669921875,15
14,2,0.0162961483001709,19
14,1,0.024871110916137695,35
14,2,0.024956464767456055,46
14,2,0.020375967025756836,24
14,1,0.014038801193237305,24
14,1,0.020901918411254883,21
14,2,0.01694512367248535,30
14,1,0.013399362564086914,22
