ci_initial,ci_final,elapsed_time,iterations
2,0,10.396010398864746,3
3,0,11.390563249588013,5
2,1,10.114286661148071,4
3,0,10.570667743682861,4
3,0,13.399463891983032,3
2,1,10.802590131759644,3
4,0,11.264754056930542,6
1,1,10.351922035217285,4
1,0,11.080200672149658,3
1,0,10.767024040222168,4
0,0,10.011701583862305,3
2,1,13.651151895523071,5
2,0,13.584868669509888,3
3,0,13.534308910369873,3
2,0,13.788630962371826,4
3,1,13.062052726745605,8
3,1,12.157910585403442,6
3,0,15.968186855316162,4
2,0,15.993405818939209,3
2,0,15.224568605422974,4
3,0,14.603221416473389,5
2,0,15.63942837715149,4
1,0,14.29284119606018,4
1,0,14.718033075332642,5
0,0,16.48064875602722,2
3,0,16.4800386428833,4
2,0,16.726465225219727,4
1,0,14.542912244796753,4
3,0,13.729163885116577,3
1,0,15.685730695724487,3
2,0,14.87070918083191,3
2,0,14.190890550613403,3
3,1,14.514926671981812,5
3,0,15.09402060508728,12
1,0,14.393493413925171,4
2,0,14.346750497817993,3
2,0,14.663852214813232,4
4,1,14.760874509811401,6
3,0,13.726233959197998,3
1,0,16.160753965377808,3
1,0,14.885101556777954,4
2,0,13.023245096206665,3
2,0,15.920411348342896,4
2,0,12.651047468185425,3
2,0,11.506575107574463,4
2,0,11.55942702293396,3
3,0,12.626279592514038,4
1,0,11.89642882347107,3
3,0,13.173275232315063,3
3,1,13.200102806091309,5
3,0,16.63233184814453,7
2,0,15.037046194076538,4
4,0,15.867727041244507,3
3,0,14.489386558532715,4
2,0,15.376057624816895,4
2,0,19.260225296020508,4
1,0,18.293495416641235,4
1,0,17.869197130203247,3
1,1,18.310434818267822,3
1,0,20.15329885482788,4
1,0,15.266693592071533,3
2,0,15.393714189529419,5
1,0,18.35112190246582,5
2,0,15.024247169494629,6
1,0,13.229414463043213,3
2,0,15.504127025604248,7
2,0,17.863991737365723,4
3,1,21.10126519203186,7
2,0,23.352638006210327,3
2,0,19.47159767150879,3
2,0,20.671813249588013,5
2,1,18.433588981628418,3
3,1,15.899320840835571,8
1,0,14.91043996810913,5
3,0,15.89911150932312,4
3,0,16.666391134262085,6
2,0,17.119043350219727,12
2,0,17.243594884872437,4
2,0,16.960723876953125,8
1,1,16.395419120788574,4
3,0,16.706063985824585,17
3,0,16.933066844940186,9
2,0,16.35580611228943,4
1,0,15.938736200332642,3
1,0,15.504998207092285,3
1,0,16.226879119873047,3
1,1,16.33245611190796,3
3,1,15.734116554260254,9
2,0,14.706564664840698,4
3,1,14.002774953842163,4
1,1,14.149067878723145,4
0,0,17.44587254524231,3
2,0,22.627595901489258,4
2,0,24.69101619720459,4
4,0,22.012155294418335,4
3,0,17.86896276473999,6
3,1,21.04161763191223,4
2,0,23.61262822151184,3
2,0,18.666471004486084,5
3,0,15.298627376556396,6
2,0,19.62505531311035,5
2,0,25.273942708969116,4
2,0,16.04347848892212,3
2,0,17.06486678123474,6
3,0,24.915055990219116,4
1,1,16.579408645629883,3
3,0,14.702252864837646,4
0,0,14.295321226119995,3
3,0,17.870169639587402,4
3,0,21.902395963668823,7
2,0,15.218428373336792,3
2,0,16.665416717529297,5
3,0,17.16080355644226,6
3,0,16.65787434577942,4
3,0,14.483734369277954,4
1,0,14.433429479598999,5
1,0,16.832125186920166,4
3,0,17.422741174697876,7
2,0,18.017640352249146,4
2,0,17.123324871063232,7
1,0,14.003510475158691,3
2,0,14.436542272567749,4
3,1,13.936046600341797,6
2,0,13.647777795791626,4
3,0,13.815333843231201,4
3,0,13.49837875366211,4
1,0,13.43031120300293,5
3,0,14.685221433639526,4
2,0,12.840583086013794,4
3,0,13.978031396865845,5
2,0,14.334537267684937,3
2,1,14.825213193893433,4
1,0,14.191056966781616,3
3,0,14.470010042190552,4
2,1,14.674278497695923,5
3,0,19.19412088394165,4
1,1,19.829872608184814,6
0,0,16.276139974594116,3
3,0,16.133535623550415,5
2,0,14.752459287643433,5
2,0,17.848962783813477,3
2,0,16.623109102249146,3
2,0,16.369192838668823,10
2,0,14.895686626434326,4
2,0,11.078463077545166,13
3,0,11.853976726531982,6
3,1,11.791258096694946,5
2,0,12.546472787857056,5
2,0,10.893460035324097,5
4,0,12.944610357284546,4
2,1,17.62569308280945,5
3,0,15.134664297103882,3
2,1,12.294371604919434,5
0,0,11.126189708709717,2
2,0,11.815434694290161,9
2,0,14.017975330352783,6
2,0,14.249649286270142,6
1,0,14.477049350738525,3
1,0,13.445575714111328,5
1,0,12.90251636505127,11
0,0,13.966707468032837,2
3,0,13.022156238555908,5
2,0,13.21329927444458,8
1,0,13.194168329238892,4
2,0,14.20443844795227,3
1,0,14.222963809967041,6
3,0,14.936131954193115,4
1,0,12.937106370925903,3
1,0,12.964900970458984,4
2,0,14.472139358520508,4
2,0,13.46132755279541,4
1,0,13.06351113319397,3
2,0,12.744003534317017,4
2,0,14.813016891479492,4
3,0,14.049582719802856,3
2,1,13.792690515518188,6
1,0,14.153783082962036,3
4,0,14.151386499404907,7
2,0,14.896151781082153,3
1,0,14.564340591430664,5
1,0,14.490617036819458,3
2,0,14.837076902389526,3
3,0,14.678178310394287,5
1,0,14.792032241821289,3
2,0,15.690599918365479,4
3,0,14.34326720237732,8
3,0,13.87343692779541,11
3,0,12.372897863388062,10
1,0,12.787254333496094,3
2,0,12.425981044769287,4
3,0,10.66623067855835,3
2,0,13.07261037826538,4
3,0,15.371351718902588,3
2,1,14.945988178253174,4
2,0,15.312128782272339,7
3,0,15.097545385360718,6
1,0,14.597785711288452,3
1,0,14.658840656280518,3
0,0,14.803830623626709,2
1,0,14.839270830154419,5
