ci_initial,ci_final,elapsed_time,iterations
5,1,1.5296354293823242,12
5,1,1.547379732131958,12
4,1,1.5363683700561523,8
6,1,1.5216405391693115,12
5,1,1.5362391471862793,6
5,1,1.538931131362915,6
5,2,1.5439338684082031,12
6,0,1.5615622997283936,11
5,1,1.551647424697876,12
5,2,1.5552453994750977,4
6,1,1.5446863174438477,14
6,1,1.5169517993927002,5
4,0,1.5482831001281738,12
5,2,1.5422143936157227,12
5,1,1.5311169624328613,12
5,1,1.5499937534332275,12
5,2,1.5340027809143066,4
5,2,1.5380659103393555,6
5,1,1.523205280303955,5
5,1,1.6248836517333984,12
5,1,1.5410692691802979,12
4,2,1.5212838649749756,4
5,0,1.5141105651855469,12
5,1,1.5522851943969727,7
5,2,1.5417823791503906,4
5,1,1.5227720737457275,5
6,0,1.5295836925506592,7
4,1,1.5339508056640625,15
6,1,1.5307927131652832,6
5,2,1.5318222045898438,6
5,0,1.5557138919830322,11
5,0,1.5417017936706543,12
5,0,1.5379421710968018,12
4,2,1.5273094177246094,5
5,1,1.6622364521026611,5
5,0,1.531970739364624,12
6,1,1.5687074661254883,12
5,1,1.562307596206665,14
5,1,1.5164813995361328,12
5,1,1.5634758472442627,6
5,0,1.5471830368041992,11
6,1,1.5436108112335205,7
5,2,1.5413892269134521,12
4,2,1.5250093936920166,5
5,1,1.5304272174835205,12
5,0,1.5508465766906738,12
4,1,1.5609056949615479,8
5,0,1.5471630096435547,12
5,1,1.5581653118133545,12
5,0,1.5783073902130127,12
5,1,1.574582576751709,12
4,0,1.5314104557037354,12
5,1,1.5473902225494385,14
4,2,1.5412318706512451,4
5,0,1.5530014038085938,12
5,1,1.564246654510498,12
5,0,1.556868553161621,12
5,2,1.545999526977539,12
5,1,1.545598030090332,11
5,1,1.5577061176300049,6
5,1,1.540649652481079,12
5,0,1.555724859237671,12
6,0,1.5631680488586426,11
5,1,1.5414080619812012,12
5,1,1.5361087322235107,12
5,2,1.5409605503082275,12
6,1,1.5420928001403809,7
6,0,1.5539641380310059,11
5,0,1.5414152145385742,11
