ci_initial,ci_final,elapsed_time,iterations
5,4,7.2921366691589355,10
5,4,7.240665435791016,10
5,3,7.2503502368927,6
4,4,7.269753694534302,8
5,4,7.286287307739258,9
3,4,7.2291693687438965,4
5,3,7.251642942428589,6
5,4,7.246570110321045,9
5,4,7.259176254272461,6
5,4,7.247220039367676,10
3,3,7.240367650985718,4
5,3,7.250034332275391,5
5,3,7.240361452102661,7
3,4,7.234670162200928,9
3,2,7.23958420753479,6
3,4,7.260605096817017,6
3,4,7.2382283210754395,11
5,4,7.205565690994263,7
5,4,7.247439861297607,8
5,3,7.240520238876343,8
3,3,7.313533306121826,4
5,4,7.2209367752075195,7
5,3,7.278124570846558,5
3,4,7.239876747131348,12
5,3,7.259227275848389,6
4,4,7.251023054122925,9
5,3,7.243493556976318,6
3,4,7.278359651565552,9
5,2,7.249596834182739,6
3,4,7.235491991043091,10
3,4,7.251598834991455,10
3,4,7.262349843978882,9
5,3,7.246899127960205,6
4,4,7.248369455337524,7
5,3,7.263302564620972,6
5,3,7.266369819641113,6
5,4,7.249231338500977,8
3,4,7.298290491104126,6
5,3,7.346024990081787,6
5,4,7.302412033081055,6
5,3,7.311278581619263,6
6,3,7.28307843208313,6
5,3,7.35108494758606,6
3,4,7.289715051651001,9
6,4,7.308624029159546,8
5,3,7.301148176193237,6
3,4,7.271013975143433,8
3,4,7.305656671524048,11
5,3,7.315640211105347,6
3,2,7.3076560497283936,6
5,2,7.288130521774292,9
5,3,7.277928829193115,6
6,4,7.2996299266815186,9
3,4,7.2425196170806885,6
5,4,7.272385358810425,12
3,2,7.272420883178711,7
4,3,7.273761510848999,5
5,3,7.282180309295654,9
4,3,7.266277551651001,4
3,4,7.236059904098511,8
5,3,7.2429304122924805,5
5,3,7.226799011230469,6
3,4,7.239563226699829,8
5,3,7.26336932182312,6
5,2,7.295091390609741,10
5,4,7.251833915710449,9
5,3,7.296767950057983,8
5,4,7.288160800933838,8
3,4,7.314536809921265,8
5,4,7.287457466125488,7
5,3,7.316643953323364,10
3,4,7.245943784713745,9
5,3,7.266423463821411,6
5,3,7.266784906387329,6
5,4,7.2604758739471436,8
3,4,7.247271299362183,7
3,4,7.275350570678711,4
3,4,7.254356384277344,6
5,3,7.27639365196228,6
3,4,7.276064157485962,6
4,3,7.275236129760742,4
5,3,7.256943225860596,5
5,3,7.24631142616272,6
5,3,7.246036767959595,6
3,4,7.268820762634277,9
3,4,7.244521617889404,10
5,3,7.263450622558594,9
5,4,7.234555006027222,10
6,2,7.243196249008179,10
3,4,7.233675956726074,9
5,4,7.279148101806641,7
5,3,7.2667295932769775,6
5,4,7.253461122512817,9
5,4,7.219371557235718,9
5,3,7.28255295753479,6
2,2,7.327489376068115,7
3,4,7.305601358413696,5
5,4,7.272096633911133,7
5,4,7.271270275115967,10
5,3,7.298929452896118,6
5,4,7.281316041946411,12
3,4,7.308887243270874,11
5,4,7.258594274520874,8
5,3,7.236605167388916,6
3,4,7.2684972286224365,6
5,3,7.288526296615601,6
5,3,7.3318030834198,7
5,3,7.319714069366455,6
5,3,7.305978536605835,8
5,3,7.2726452350616455,6
5,3,7.316401720046997,6
6,3,7.299166679382324,6
5,4,7.304138660430908,9
3,4,7.2836995124816895,8
5,3,7.237578392028809,6
5,3,7.295199155807495,6
5,3,7.348833322525024,6
3,2,7.285465717315674,4
5,4,7.281959533691406,6
3,4,7.319165229797363,9
5,4,7.34474515914917,9
3,4,7.326436519622803,6
5,4,7.290421485900879,10
5,4,7.2699267864227295,8
3,4,7.278001070022583,8
5,4,7.3386054039001465,9
5,3,7.277725696563721,6
3,4,7.286969900131226,7
3,4,7.28061580657959,9
3,4,7.2546916007995605,10
3,4,7.2699620723724365,7
4,4,7.274896860122681,7
5,4,7.243830442428589,12
5,3,7.261380910873413,6
5,4,7.2909135818481445,8
5,3,7.302088737487793,6
5,3,7.330836772918701,6
5,3,7.282468795776367,6
5,4,7.263672828674316,10
3,4,7.257389307022095,8
3,2,7.292818307876587,4
3,4,7.285321474075317,5
5,4,7.271501779556274,5
5,3,7.302319526672363,6
3,4,7.342548608779907,10
5,4,7.260274171829224,7
3,4,7.299824237823486,11
5,3,7.280725002288818,5
5,3,7.273064613342285,6
5,3,7.275517225265503,6
3,4,7.275200605392456,6
5,3,7.28752589225769,6
3,4,7.2853240966796875,10
3,4,7.33997106552124,9
5,4,7.303162336349487,6
3,4,7.296482801437378,12
5,4,7.416239023208618,7
4,4,7.248259544372559,8
3,2,7.275555610656738,7
5,3,7.283390283584595,6
4,4,7.316232442855835,6
5,3,7.284527540206909,6
5,3,7.28555965423584,6
5,4,7.3122923374176025,8
5,3,7.289341449737549,6
5,4,7.311765670776367,12
3,4,7.28162407875061,10
3,4,7.302077054977417,9
6,4,7.280778408050537,10
5,3,7.3402557373046875,6
2,2,7.332876920700073,6
5,4,7.332526683807373,7
5,4,7.324274301528931,12
3,4,7.305077791213989,10
5,3,7.299467086791992,6
