ci_initial,ci_final,elapsed_time,iterations
5,4,8.612287521362305,8
5,4,8.906644582748413,8
5,3,9.096495389938354,6
5,2,8.76796269416809,8
5,2,8.736697912216187,6
5,4,8.922142028808594,8
5,3,9.32591986656189,6
5,3,8.905071258544922,6
5,4,8.660519361495972,9
5,3,8.668955564498901,6
5,4,8.939440727233887,9
5,2,8.926189184188843,10
5,3,9.256159543991089,8
5,3,8.634824275970459,6
5,4,9.069411039352417,8
5,3,9.204421997070312,4
5,4,8.74987268447876,6
5,2,9.00121021270752,10
5,3,8.375394582748413,5
5,3,8.936418771743774,6
5,4,9.120542049407959,8
5,2,8.919086933135986,10
5,4,8.827596187591553,9
5,3,8.919167757034302,5
5,3,8.932712078094482,6
5,4,8.850851058959961,10
5,3,8.732523202896118,6
5,4,9.091017007827759,9
5,4,8.453550577163696,7
5,4,9.027459144592285,5
5,3,8.947368621826172,4
5,4,8.212623834609985,9
5,3,8.730198860168457,4
5,3,9.119364738464355,4
5,4,8.664827823638916,8
5,3,9.363673448562622,6
5,2,11.697454452514648,10
5,4,8.779141664505005,5
5,3,9.36741590499878,6
5,3,10.931800842285156,4
5,4,9.053685903549194,8
5,3,10.036494493484497,4
5,2,8.577072381973267,10
5,3,8.69102954864502,4
5,4,8.3475341796875,9
5,3,7.677648544311523,4
5,4,8.249311685562134,6
5,3,9.10978388786316,6
5,3,8.689395189285278,5
5,4,8.41630482673645,9
5,4,9.116361379623413,8
5,4,8.643694162368774,6
5,3,8.815315008163452,6
5,4,8.670703411102295,8
5,3,8.198206186294556,6
5,3,8.11424708366394,4
5,3,8.717639684677124,6
5,4,8.478706359863281,5
5,2,8.943441390991211,5
5,4,8.014466524124146,9
5,3,7.984444856643677,5
5,3,9.000951766967773,6
5,2,8.228620529174805,6
5,3,8.067336082458496,4
5,2,8.946582078933716,8
5,4,8.414913654327393,8
5,4,8.06515097618103,7
5,2,8.020247459411621,10
5,4,8.021114349365234,7
5,2,8.720137357711792,10
5,3,8.760631084442139,6
5,4,8.980745315551758,9
5,2,9.647608518600464,10
5,4,8.188642978668213,7
5,4,8.138481855392456,7
5,4,6.51802134513855,7
5,4,7.222212553024292,10
5,2,7.415391445159912,6
5,4,6.598744630813599,9
5,2,6.64510703086853,5
5,3,6.906690835952759,4
5,4,7.158612251281738,9
5,4,6.671193838119507,9
5,4,6.91205096244812,6
5,4,7.7814271450042725,9
5,3,7.408523797988892,4
5,2,7.614277601242065,6
5,4,7.326874017715454,7
5,4,7.288262844085693,4
5,3,6.433055400848389,6
5,4,7.456348419189453,7
5,4,7.22342848777771,7
5,3,7.165653467178345,8
5,4,7.044657468795776,12
5,3,6.9038777351379395,6
5,4,7.069762945175171,9
5,4,7.108886480331421,9
5,3,7.270383834838867,6
5,4,7.072024822235107,9
5,3,7.410605192184448,6
5,4,7.339046239852905,10
5,3,6.87181544303894,5
5,3,7.350534200668335,4
5,4,6.754553318023682,9
5,4,7.215774774551392,9
5,4,7.357044458389282,8
5,3,7.269640684127808,5
5,3,7.305471181869507,4
5,4,6.621552228927612,7
5,3,6.659605979919434,7
5,4,7.599061012268066,9
5,4,7.655029058456421,9
5,4,7.5543129444122314,9
5,4,6.98076605796814,8
5,3,7.099311113357544,7
5,4,7.038862228393555,7
5,2,7.390607595443726,10
5,4,7.178982973098755,9
5,4,7.515580415725708,10
5,3,7.117542743682861,4
5,3,7.896584749221802,6
5,2,7.354104042053223,10
5,3,6.384063482284546,4
5,4,7.43269419670105,9
5,4,7.032364368438721,9
5,3,7.644923448562622,6
5,3,6.872346878051758,6
5,3,7.1992669105529785,8
5,4,6.222147226333618,5
5,2,7.689598798751831,6
5,4,7.757528781890869,9
5,4,7.706477403640747,8
5,3,7.066796779632568,6
5,3,7.132418870925903,7
5,4,7.351146936416626,9
5,3,6.794723987579346,9
5,3,7.131285667419434,6
5,3,7.129114151000977,6
5,3,7.428853511810303,4
5,2,6.544039011001587,10
5,4,7.0792694091796875,7
5,4,7.097243070602417,8
5,3,7.28357458114624,6
5,2,6.995215177536011,8
5,4,6.907158136367798,9
5,3,6.408101558685303,7
5,3,8.091017484664917,6
5,3,6.856038808822632,4
5,3,6.859062910079956,6
5,2,7.204134702682495,10
5,3,7.343031167984009,6
5,3,7.391767978668213,5
5,4,7.344946384429932,10
5,4,6.888469219207764,6
5,4,7.710095643997192,9
5,3,7.561428546905518,4
5,4,6.674222707748413,9
5,4,6.9291088581085205,9
5,2,6.844801425933838,10
5,3,6.555752754211426,4
5,3,6.63834285736084,6
5,4,7.218339681625366,9
5,3,6.7877490520477295,6
5,4,7.348791837692261,8
5,4,6.795928478240967,8
5,4,7.7073845863342285,5
5,4,7.151966094970703,9
5,3,6.607609510421753,4
5,3,7.207406520843506,6
5,3,7.173273801803589,6
5,3,7.6835174560546875,6
5,2,6.491414785385132,6
5,2,7.504499197006226,10
5,3,7.1258440017700195,4
5,3,6.437264680862427,6
5,4,7.190110206604004,9
5,4,6.94819188117981,7
5,3,7.154365062713623,5
5,3,7.392984628677368,4
5,3,7.001958847045898,4
5,4,6.634454727172852,6
5,3,6.750295877456665,5
5,4,7.349160194396973,4
5,3,6.5659191608428955,6
5,2,6.790917158126831,6
5,3,6.964346408843994,6
5,4,7.6589226722717285,4
5,3,7.6990180015563965,6
5,4,6.857562780380249,9
5,3,6.726835250854492,6
5,2,7.37351655960083,5
