ci_initial,ci_final,elapsed_time,iterations
5,1,1.5521371364593506,12
5,1,1.5483338832855225,7
5,2,1.5456464290618896,6
6,1,1.5523765087127686,14
4,0,1.542717695236206,12
5,2,1.538492202758789,6
4,2,1.5503299236297607,4
5,2,1.714399814605713,12
5,1,1.5546643733978271,12
4,1,1.5386042594909668,8
5,0,1.5808897018432617,12
5,0,1.5377240180969238,12
5,1,1.525003433227539,14
6,1,1.5555460453033447,12
5,1,1.5610384941101074,12
6,2,1.540370225906372,9
5,1,1.547132968902588,6
5,2,1.5377519130706787,6
4,2,1.5172398090362549,4
4,2,1.5394666194915771,4
5,1,1.5742294788360596,12
4,0,1.5500209331512451,12
6,0,1.5782623291015625,11
5,0,1.563324213027954,12
6,0,1.5288074016571045,8
6,0,1.5451323986053467,8
5,2,1.5543770790100098,4
5,0,1.5638861656188965,12
6,0,1.5425608158111572,11
5,1,1.563532829284668,12
5,2,1.554760456085205,6
4,1,1.5457253456115723,15
5,1,1.525202751159668,14
5,1,1.54433012008667,12
5,1,1.5621998310089111,12
5,0,1.5654444694519043,12
5,1,1.5564236640930176,12
5,2,1.5649995803833008,6
5,1,1.5538725852966309,6
5,1,1.5527803897857666,12
5,1,1.5418853759765625,14
5,1,1.5330095291137695,6
5,1,1.5436279773712158,12
5,1,1.529223918914795,12
6,1,1.5606951713562012,14
4,0,1.5574100017547607,12
5,0,1.5329854488372803,12
5,0,1.5317192077636719,12
4,0,1.5715527534484863,14
5,2,1.5480647087097168,12
5,0,1.5477468967437744,12
5,1,1.5493369102478027,14
5,0,1.5785295963287354,11
5,2,1.5451560020446777,12
6,0,1.5348269939422607,12
5,0,1.542001724243164,12
4,2,1.5275094509124756,4
5,0,1.5602049827575684,12
5,1,1.5531525611877441,10
5,1,1.5383634567260742,12
4,2,1.560976505279541,4
5,2,1.551598072052002,12
5,1,1.5765132904052734,6
5,2,1.544196367263794,12
6,2,1.5374090671539307,9
4,0,1.555337905883789,12
4,0,1.5465526580810547,12
5,0,1.5570380687713623,11
5,0,1.521989345550537,12
5,1,1.5437736511230469,14
5,2,1.5477051734924316,12
4,2,1.562178611755371,4
5,1,1.5437188148498535,8
5,0,1.5562236309051514,12
5,1,1.5639197826385498,12
5,1,1.54451322555542,12
5,2,1.5357298851013184,12
5,1,1.5516736507415771,6
5,1,1.5477359294891357,6
5,0,1.5386736392974854,12
5,1,1.538480520248413,12
5,1,1.5312175750732422,6
5,0,1.5601868629455566,11
5,0,1.5584473609924316,12
5,0,1.555344581604004,12
5,0,1.5668025016784668,12
5,1,1.5601856708526611,10
6,0,1.5558195114135742,16
5,0,1.5375311374664307,12
5,1,1.552438735961914,12
4,0,1.5529272556304932,12
5,1,1.5628621578216553,14
5,2,1.5602998733520508,12
5,1,1.5665671825408936,12
4,1,1.5531353950500488,7
4,0,1.5472486019134521,12
5,1,1.534498691558838,5
5,1,1.563483476638794,14
6,2,1.541062355041504,12
5,1,1.5498237609863281,15
