ci_initial,ci_final,elapsed_time,iterations
3,4,7.336676359176636,7
5,3,7.318277835845947,6
5,4,7.532402515411377,8
5,3,7.333103656768799,7
5,3,7.3297247886657715,6
5,4,7.3204426765441895,12
5,4,7.365503787994385,12
3,4,7.329451560974121,9
5,3,7.340344190597534,7
3,4,7.342130899429321,10
5,4,7.393459320068359,10
6,4,7.327318429946899,9
3,4,7.340223789215088,6
4,4,7.382568359375,8
3,4,7.380403280258179,9
5,3,7.402950286865234,6
3,4,7.346931219100952,7
5,3,7.309198379516602,6
5,4,7.347788095474243,8
5,3,7.315753698348999,6
3,4,7.347439289093018,6
3,4,7.36435341835022,9
5,3,7.354454517364502,6
5,3,7.308767557144165,6
6,2,7.353988409042358,10
5,3,7.389784336090088,6
5,3,7.387633800506592,6
5,4,7.31754207611084,6
5,3,7.354430913925171,9
5,4,7.353593587875366,12
3,3,7.320951223373413,4
3,4,7.359458684921265,9
5,3,7.3383469581604,6
3,4,7.350428342819214,6
5,4,7.344804763793945,7
5,3,7.35167932510376,6
3,4,7.3461220264434814,5
3,4,7.402190208435059,9
5,4,7.367634296417236,7
3,4,7.364034652709961,9
3,4,7.366169691085815,10
3,4,7.348888874053955,5
5,3,7.404140472412109,6
3,4,7.400652170181274,5
5,4,7.494101047515869,6
4,3,7.441797494888306,8
5,3,7.431988716125488,6
4,4,7.392333984375,12
5,4,7.409469127655029,9
5,3,7.3902587890625,7
5,3,7.339518070220947,6
5,3,7.33179235458374,6
5,3,7.352580547332764,6
4,4,7.400198459625244,5
5,4,7.368409633636475,8
5,4,7.355196952819824,10
5,4,7.324815988540649,7
5,3,7.343012571334839,6
5,4,7.400182485580444,7
5,3,7.416930913925171,6
3,4,7.3679656982421875,6
5,4,7.444758892059326,9
3,2,7.383673906326294,10
5,3,7.391245365142822,5
5,4,7.3868796825408936,10
3,4,7.419294118881226,5
5,3,7.39809513092041,6
5,3,7.354921340942383,6
3,4,7.347893953323364,9
5,4,7.352959632873535,10
5,3,7.342289447784424,6
5,3,7.297766923904419,6
6,4,7.327190399169922,8
5,4,7.396379232406616,9
5,3,7.351042985916138,7
5,4,7.36924934387207,6
3,4,7.354067325592041,6
3,4,7.369233131408691,6
5,4,7.3765034675598145,9
5,3,7.371065378189087,6
3,4,7.334527015686035,10
5,3,7.3485352993011475,6
5,3,7.332078456878662,6
5,4,7.315450668334961,8
5,4,7.303175210952759,10
5,4,7.311363220214844,10
5,4,7.337167024612427,10
3,4,7.373411178588867,5
3,4,7.3417603969573975,5
3,4,7.384257555007935,9
5,4,7.326347589492798,9
6,3,7.299258470535278,8
5,3,7.311771869659424,6
5,3,7.330869436264038,6
6,4,7.333645582199097,7
3,4,7.327179193496704,9
5,3,7.318983793258667,6
3,4,7.307315349578857,3
5,4,7.306291580200195,12
5,4,7.292819023132324,9
