ci_initial,ci_final,elapsed_time,iterations
5,2,1.2946903705596924,10
3,2,1.1292529106140137,8
4,2,1.5152714252471924,7
3,2,1.289970874786377,8
5,2,1.3936426639556885,10
2,2,1.4836652278900146,3
2,2,1.0609991550445557,10
3,2,1.006779432296753,7
2,2,1.2578163146972656,4
4,2,1.162705421447754,10
4,2,1.1737277507781982,8
3,2,1.0517268180847168,6
3,2,1.0887517929077148,7
3,2,1.243997573852539,9
2,2,1.2634131908416748,5
5,2,1.2887415885925293,10
4,4,1.2514488697052002,7
3,2,1.1172809600830078,5
1,1,1.1046719551086426,4
3,2,1.3269364833831787,4
3,2,1.157618522644043,10
3,2,1.088134527206421,4
4,2,1.164870262145996,4
5,2,1.2007405757904053,10
2,2,1.1467759609222412,4
2,2,1.1500787734985352,9
1,1,1.136221170425415,4
3,4,1.1174912452697754,6
3,2,1.0676069259643555,8
3,4,1.028435468673706,5
4,2,1.0322673320770264,6
2,2,1.3673231601715088,11
3,2,1.0636398792266846,5
3,2,1.2723300457000732,6
3,2,1.4298577308654785,4
2,2,1.189352035522461,9
2,1,1.1665606498718262,5
3,2,1.0800511837005615,8
3,2,1.1682748794555664,10
5,4,1.266343355178833,7
4,4,1.32427978515625,9
3,2,1.1604714393615723,9
3,2,1.7444915771484375,8
3,4,2.1633524894714355,6
3,2,1.441976547241211,11
2,2,1.5845515727996826,11
4,2,2.3587629795074463,8
5,4,1.4383740425109863,9
2,2,1.5679326057434082,6
3,2,1.4586338996887207,8
2,2,1.2658054828643799,10
2,2,1.3021225929260254,5
2,2,1.169003963470459,5
4,2,1.29443359375,5
3,4,1.5589520931243896,6
3,2,1.8940300941467285,10
3,2,1.4683663845062256,8
2,1,1.1873741149902344,5
4,2,1.1397461891174316,8
3,4,1.7137932777404785,8
3,2,1.6987454891204834,5
2,2,1.5805726051330566,11
5,2,1.8224103450775146,10
3,4,1.7997548580169678,9
3,2,1.6750850677490234,9
6,2,1.9857213497161865,6
3,4,1.140770673751831,6
4,2,1.422274112701416,7
2,2,1.1994812488555908,5
4,2,1.1659214496612549,6
4,2,1.1070926189422607,7
3,4,1.1930956840515137,6
2,1,1.071016788482666,4
3,1,1.3709566593170166,3
4,2,1.1842200756072998,8
5,2,1.1356089115142822,10
3,1,1.3667047023773193,5
4,2,1.2264823913574219,11
3,2,1.1642839908599854,10
2,2,1.4698669910430908,4
3,2,1.2431621551513672,6
3,2,1.2979459762573242,6
5,4,1.6406664848327637,9
2,2,1.218013048171997,8
4,2,1.5107431411743164,7
3,1,1.2838213443756104,5
5,2,1.5960693359375,10
2,2,1.468057632446289,3
3,2,1.1429882049560547,9
4,2,1.057103157043457,7
2,2,1.0502705574035645,4
4,2,1.269172191619873,9
4,4,1.1701843738555908,11
1,1,1.2053351402282715,5
2,2,1.598576545715332,5
2,2,1.4081335067749023,7
2,1,1.4431180953979492,6
3,2,1.3019089698791504,5
2,2,1.844735860824585,4
2,1,1.5706596374511719,3
