ci_initial,ci_final,elapsed_time,iterations
3,0,8.940585613250732,5
2,0,8.224039077758789,4
2,0,8.826720476150513,3
1,0,8.28136134147644,3
2,0,8.761690616607666,4
2,0,8.736910581588745,6
1,0,8.73444151878357,4
2,0,8.797909259796143,4
2,0,8.596432447433472,3
2,0,8.670238018035889,4
3,0,8.082446813583374,5
0,0,8.081458806991577,2
0,0,8.00000286102295,2
1,0,8.016651391983032,3
0,0,8.04246735572815,2
1,0,8.04508924484253,4
1,0,8.009678602218628,3
2,0,8.044095993041992,4
2,0,8.01434850692749,8
1,0,8.071797370910645,4
2,0,7.960546970367432,4
2,0,7.996211051940918,4
4,0,7.999444007873535,5
3,0,8.023096799850464,6
0,0,7.990096807479858,3
2,1,7.99702262878418,4
2,0,8.001235008239746,3
1,0,7.978358745574951,3
3,0,8.019609689712524,5
2,0,8.083339214324951,4
