ci_initial,ci_final,elapsed_time,iterations
5,1,1.6266658306121826,12
5,1,1.6581265926361084,12
5,1,1.685807228088379,12
5,0,1.7307536602020264,12
5,1,1.9222161769866943,7
5,0,1.7025434970855713,12
4,2,1.6883916854858398,9
6,0,1.6291227340698242,12
5,2,1.6961357593536377,9
5,1,1.7322204113006592,14
5,1,1.5876922607421875,7
6,0,1.6040220260620117,11
6,1,1.5977818965911865,6
6,0,1.57973051071167,11
4,2,1.5671875476837158,4
4,1,1.572681188583374,7
6,2,1.581775426864624,12
5,0,1.6096041202545166,11
6,2,1.576594591140747,12
6,1,1.5985708236694336,7
5,1,1.6050281524658203,6
5,2,1.6062982082366943,6
4,2,1.57350754737854,4
5,2,1.5922837257385254,7
4,0,1.5767781734466553,12
6,2,1.5744092464447021,12
5,0,1.5505046844482422,12
5,1,1.586721658706665,12
5,2,1.5738880634307861,12
5,2,1.566328525543213,6
