ci_initial,ci_final,elapsed_time,iterations
3,2,7.740562915802002,7
3,4,7.517521858215332,8
5,3,7.676662921905518,6
5,3,7.746275424957275,6
5,3,7.659731864929199,6
3,4,7.690408706665039,9
6,4,7.861282825469971,8
3,4,8.08900237083435,6
5,3,7.513819456100464,4
3,4,7.627053260803223,8
3,3,7.399462938308716,5
3,4,7.402343511581421,8
5,3,8.584865808486938,5
5,3,7.743011713027954,6
3,3,8.407716035842896,4
3,4,8.914329290390015,10
5,3,12.96119999885559,6
5,4,9.00504755973816,9
2,2,9.938643455505371,12
3,4,7.720316410064697,10
3,4,7.7556657791137695,6
5,3,7.74933934211731,6
5,3,8.151384830474854,6
5,3,8.373611450195312,7
5,3,8.699137449264526,6
5,3,7.529175043106079,6
3,4,11.86710238456726,8
3,4,11.17494821548462,8
5,3,9.38325572013855,6
5,3,7.680413246154785,6
