ci_initial,ci_final,elapsed_time,iterations
3,4,0.6440198421478271,8
4,2,0.6674790382385254,8
3,4,0.6777021884918213,7
4,2,0.6519689559936523,8
4,2,0.6948790550231934,8
2,1,0.6703536510467529,4
2,2,0.6702256202697754,7
3,2,0.8420131206512451,9
3,2,0.7208800315856934,7
5,2,0.6722378730773926,6
4,2,1.4349501132965088,8
3,4,1.6261534690856934,5
3,2,1.1177337169647217,8
5,2,2.3763315677642822,8
2,2,1.0650396347045898,8
3,1,1.2095272541046143,7
4,4,1.0326244831085205,7
3,2,1.2123112678527832,9
3,4,2.5218119621276855,5
3,2,2.2400476932525635,9
3,2,1.0652074813842773,8
3,2,1.0480537414550781,7
3,2,1.0464980602264404,5
4,2,1.1006040573120117,5
2,2,1.4034087657928467,6
5,2,1.142622947692871,5
4,2,1.1481194496154785,8
3,4,1.198505163192749,6
3,2,1.6507863998413086,12
3,2,1.0795657634735107,6
