ci_initial,ci_final,elapsed_time,iterations
5,2,7.73284912109375,8
5,3,8.096651077270508,6
5,3,7.631683826446533,4
5,4,7.206876516342163,9
5,3,7.603542327880859,6
5,2,7.430356979370117,8
5,3,6.989736318588257,6
5,4,7.113246202468872,10
5,4,7.568525075912476,8
5,4,7.820739507675171,5
5,4,7.150486707687378,9
5,3,7.52283501625061,4
5,4,7.164372444152832,6
5,4,6.90036416053772,9
5,4,6.568018674850464,5
5,4,7.07393741607666,8
5,4,7.514139413833618,6
5,4,7.227461814880371,9
5,4,7.136873960494995,10
5,2,7.58628249168396,10
5,4,7.819660186767578,9
5,2,7.549588918685913,10
5,4,5.878561973571777,9
5,4,6.631529092788696,8
5,2,6.230485677719116,10
5,3,6.996565818786621,6
5,4,6.855705261230469,8
5,4,6.623143434524536,6
5,3,7.696578502655029,4
5,3,6.8489508628845215,6
