ci_initial,ci_final,elapsed_time,iterations
4,3,0.016254901885986328,4
4,4,0.014803886413574219,2
5,3,0.03774428367614746,6
5,3,0.1536874771118164,5
5,4,0.11006045341491699,4
4,4,0.032538414001464844,3
4,4,0.01625227928161621,2
5,4,0.019501686096191406,4
4,4,0.015334129333496094,2
4,2,0.01577591896057129,4
5,4,0.0159604549407959,4
5,3,0.016939878463745117,4
5,4,0.015362024307250977,4
5,4,0.015433073043823242,3
4,4,0.016954898834228516,2
4,4,0.016550064086914062,3
5,4,0.017390966415405273,4
4,4,0.01820063591003418,3
4,4,0.025182247161865234,3
5,4,0.01643824577331543,3
5,4,0.015298128128051758,4
5,4,0.015507698059082031,3
4,2,0.01736140251159668,4
4,4,0.014691829681396484,2
4,4,0.015902996063232422,2
4,4,0.015437126159667969,4
5,4,0.015451431274414062,3
5,4,0.016007423400878906,4
4,4,0.015641450881958008,2
5,4,0.017063140869140625,3
5,3,0.017241716384887695,4
5,4,0.016795635223388672,3
4,4,0.015525341033935547,3
5,4,0.01632547378540039,4
5,4,0.016315460205078125,3
5,4,0.016810178756713867,4
4,4,0.015197515487670898,2
5,4,0.01616954803466797,3
5,3,0.018990516662597656,5
4,4,0.014828681945800781,2
5,4,0.016148090362548828,4
6,4,0.016510963439941406,6
4,4,0.01524972915649414,3
4,4,0.015064477920532227,2
4,4,0.014554500579833984,2
5,4,0.015073060989379883,3
5,4,0.015205860137939453,3
4,4,0.015199899673461914,2
5,4,0.017202377319335938,5
4,4,0.015394449234008789,2
5,4,0.05117011070251465,4
4,4,0.01755809783935547,3
4,4,0.015497922897338867,3
4,4,0.015425682067871094,3
5,4,0.01715254783630371,3
4,4,0.0626516342163086,4
4,4,0.09272289276123047,2
4,4,0.12543463706970215,4
5,2,0.016971349716186523,6
5,4,0.016822338104248047,8
4,4,0.014318704605102539,2
4,4,0.02855539321899414,2
4,4,0.016448974609375,4
4,4,0.015776395797729492,2
4,4,0.015099763870239258,3
4,3,0.016658306121826172,4
4,3,0.015282869338989258,4
4,4,0.01749396324157715,2
4,4,0.015232563018798828,2
4,4,0.01639723777770996,2
5,4,0.024687767028808594,3
4,4,0.017304658889770508,4
4,4,0.015362262725830078,2
4,4,0.015927791595458984,4
5,4,0.01565384864807129,4
4,4,0.015947580337524414,2
4,4,0.01781320571899414,2
4,4,0.01551055908203125,3
4,4,0.015730619430541992,3
5,4,0.016442537307739258,3
5,4,0.016516685485839844,4
4,4,0.029468059539794922,4
4,4,0.017095565795898438,3
5,4,0.01611185073852539,5
4,4,0.015231847763061523,3
4,3,0.015973567962646484,4
5,4,0.016169071197509766,4
4,4,0.014700174331665039,2
4,4,0.014728784561157227,2
4,4,0.01639533042907715,3
5,4,0.015839576721191406,6
4,4,0.015213727951049805,3
4,4,0.015651702880859375,2
4,4,0.04400134086608887,2
4,3,0.023804187774658203,4
4,4,0.040059566497802734,2
5,4,0.11339497566223145,3
4,4,0.10041570663452148,2
4,4,0.03399968147277832,2
4,4,0.014831781387329102,2
5,3,0.01844310760498047,6
4,3,0.017047882080078125,4
4,4,0.015163660049438477,3
5,4,0.016005992889404297,3
4,4,0.014667272567749023,2
4,4,0.015902042388916016,3
5,4,0.019366025924682617,3
5,4,0.014886617660522461,4
4,4,0.014493465423583984,3
4,4,0.01591324806213379,4
4,4,0.014433860778808594,2
4,4,0.021840572357177734,2
4,4,0.016274690628051758,3
5,4,0.01565241813659668,4
5,2,0.01854228973388672,12
5,4,0.01658487319946289,4
4,4,0.014353513717651367,2
4,4,0.01450347900390625,2
4,4,0.015650272369384766,3
6,4,0.01660919189453125,4
5,4,0.015341997146606445,4
5,4,0.01880788803100586,6
4,4,0.015549659729003906,3
4,4,0.01498866081237793,3
5,2,0.018908262252807617,13
4,4,0.015841007232666016,3
5,3,0.016705751419067383,6
4,4,0.03612256050109863,2
4,4,0.10131144523620605,3
4,4,0.11256289482116699,2
5,2,0.08102989196777344,12
4,4,0.015515804290771484,2
5,4,0.01881694793701172,3
4,4,0.015629053115844727,2
5,4,0.01673746109008789,4
4,4,0.015625953674316406,5
5,4,0.01826786994934082,8
5,4,0.015918493270874023,4
4,4,0.015894412994384766,3
5,2,0.01891636848449707,12
4,4,0.014928340911865234,3
5,4,0.025554418563842773,3
5,4,0.016793251037597656,4
5,4,0.01776862144470215,3
4,4,0.045503854751586914,3
4,4,0.09299302101135254,3
4,4,0.08873701095581055,2
5,4,0.05254054069519043,3
5,4,0.015348672866821289,3
4,4,0.016149044036865234,3
5,2,0.01768207550048828,6
5,3,0.01624155044555664,6
4,4,0.01596665382385254,2
4,4,0.015775680541992188,3
4,4,0.015202999114990234,2
4,4,0.014622688293457031,3
5,4,0.017525911331176758,7
4,4,0.014606714248657227,2
5,2,0.01660013198852539,6
4,4,0.015559911727905273,2
5,4,0.027268409729003906,3
4,4,0.015027284622192383,3
4,4,0.015341043472290039,3
5,2,0.017815589904785156,12
4,4,0.015535831451416016,2
5,3,0.03428292274475098,4
4,3,0.017236948013305664,4
4,4,0.015414237976074219,2
4,4,0.041916847229003906,3
5,3,0.017409801483154297,6
4,4,0.014945745468139648,3
4,3,0.016198396682739258,4
5,3,0.017372846603393555,6
4,4,0.015940427780151367,4
4,4,0.015145063400268555,3
5,3,0.017028093338012695,6
4,4,0.01575303077697754,3
4,4,0.017832279205322266,2
5,4,0.016223669052124023,9
4,4,0.01609325408935547,3
4,4,0.015341043472290039,4
4,4,0.014789342880249023,2
4,4,0.015470504760742188,3
4,4,0.015539407730102539,3
4,4,0.01520538330078125,3
4,4,0.016031503677368164,4
4,3,0.01902151107788086,4
5,4,0.015315532684326172,4
5,3,0.016501903533935547,7
4,4,0.014982938766479492,4
5,4,0.01624584197998047,4
4,4,0.016341686248779297,4
4,4,0.015126228332519531,2
4,4,0.01480412483215332,2
5,4,0.015746593475341797,4
5,4,0.01617264747619629,3
5,4,0.015166282653808594,3
5,4,0.01560664176940918,4
4,4,0.015702247619628906,3
4,3,0.015667200088500977,4
5,4,0.017204761505126953,3
4,4,0.015212297439575195,2
5,4,0.015210151672363281,3
4,4,0.015887975692749023,3
4,4,0.015816688537597656,5
5,3,0.01717662811279297,5
4,4,0.016225337982177734,4
4,4,0.015715599060058594,4
4,4,0.015028953552246094,2
4,4,0.014451026916503906,3
4,4,0.09818840026855469,3
4,4,0.10773992538452148,2
5,4,0.07343554496765137,3
5,4,0.018228530883789062,6
5,4,0.03038167953491211,8
5,4,0.03584718704223633,5
4,4,0.015624761581420898,3
4,4,0.01648855209350586,3
6,1,0.018269062042236328,12
4,4,0.014640331268310547,2
4,4,0.01617908477783203,3
5,4,0.016021728515625,4
5,4,0.020919322967529297,6
5,3,0.025872468948364258,5
4,4,0.015272140502929688,2
5,4,0.017026424407958984,4
4,4,0.015891313552856445,2
4,4,0.015253305435180664,3
4,4,0.0165402889251709,3
5,4,0.016922950744628906,3
4,4,0.015523433685302734,2
5,3,0.016795635223388672,6
5,4,0.015214204788208008,3
6,4,0.01568436622619629,4
5,4,0.015324115753173828,3
6,4,0.01631021499633789,7
5,4,0.016135692596435547,3
