ci_initial,ci_final,elapsed_time,iterations
4,4,0.0075435638427734375,6
5,4,0.007092952728271484,5
5,4,0.0074253082275390625,7
4,4,0.006937742233276367,5
5,3,0.007915973663330078,6
5,4,0.007509946823120117,4
4,4,0.00694584846496582,5
5,4,0.00826573371887207,10
4,4,0.006716728210449219,4
5,3,0.00756525993347168,6
5,4,0.008060216903686523,9
4,4,0.017180204391479492,7
5,4,0.03390097618103027,7
4,4,0.007468700408935547,6
5,4,0.007119655609130859,4
4,4,0.007255077362060547,6
5,4,0.015723228454589844,5
4,4,0.006514072418212891,3
4,4,0.00771784782409668,8
4,4,0.006677865982055664,4
3,3,0.00701904296875,5
5,4,0.007291316986083984,5
4,4,0.007586479187011719,6
4,4,0.007008075714111328,5
2,2,0.006712198257446289,4
5,4,0.006696939468383789,4
5,4,0.006834983825683594,4
5,4,0.006973743438720703,5
5,4,0.006962776184082031,5
5,4,0.007311105728149414,5
5,3,0.007707118988037109,6
4,4,0.007010459899902344,5
5,4,0.0067386627197265625,4
3,3,0.007105827331542969,5
5,3,0.0077173709869384766,6
4,4,0.00696873664855957,5
4,4,0.006994485855102539,5
5,4,0.006918907165527344,5
2,0,0.007237911224365234,7
5,4,0.006669521331787109,4
4,4,0.007112026214599609,4
3,3,0.007283449172973633,6
4,4,0.006748676300048828,4
4,4,0.007997274398803711,9
5,3,0.00745391845703125,5
4,4,0.007489681243896484,4
3,4,0.00704503059387207,5
5,4,0.007466554641723633,7
4,4,0.0069963932037353516,5
5,4,0.006968498229980469,5
5,4,0.00694584846496582,5
3,4,0.0075070858001708984,7
4,4,0.0069293975830078125,5
5,4,0.006966829299926758,5
5,4,0.0066564083099365234,4
3,4,0.007337808609008789,6
4,4,0.006706953048706055,4
5,4,0.006726503372192383,4
5,4,0.0067250728607177734,4
6,4,0.0069561004638671875,4
5,4,0.006439208984375,3
4,4,0.007065534591674805,5
5,4,0.0067288875579833984,4
4,4,0.006918430328369141,5
4,4,0.007215261459350586,6
4,3,0.0069732666015625,5
4,4,0.006663084030151367,4
5,4,0.007530689239501953,7
3,3,0.0064580440521240234,3
5,4,0.006665229797363281,4
5,4,0.007395744323730469,7
3,4,0.00697016716003418,5
3,3,0.006401538848876953,3
5,4,0.006899833679199219,4
5,4,0.007735490798950195,7
4,4,0.0069348812103271484,4
4,4,0.006471395492553711,3
4,4,0.00691676139831543,5
6,2,0.008851289749145508,10
5,4,0.0065157413482666016,3
4,4,0.007196187973022461,6
6,4,0.006983041763305664,5
5,4,0.0069179534912109375,5
5,4,0.0066378116607666016,4
5,4,0.007866621017456055,5
5,4,0.006841182708740234,4
5,3,0.006941080093383789,5
5,4,0.006388664245605469,3
5,4,0.006985902786254883,5
5,4,0.00699925422668457,4
4,2,0.0067784786224365234,4
5,4,0.020473003387451172,4
5,4,0.007780790328979492,8
5,4,0.013987064361572266,4
5,4,0.007669687271118164,4
4,4,0.007344722747802734,6
5,4,0.006838798522949219,4
5,4,0.0075147151947021484,7
5,3,0.00783848762512207,6
4,4,0.006578922271728516,3
5,4,0.0075817108154296875,7
5,3,0.00797724723815918,6
5,4,0.007348775863647461,6
5,4,0.007520437240600586,7
4,4,0.00861048698425293,10
5,4,0.0069293975830078125,5
5,4,0.00658726692199707,4
4,4,0.006905317306518555,5
5,4,0.006928205490112305,5
4,4,0.0068929195404052734,5
5,4,0.006715536117553711,4
5,4,0.006485462188720703,3
5,4,0.007128715515136719,5
4,4,0.006972074508666992,5
5,4,0.006927013397216797,5
4,4,0.007967472076416016,9
4,4,0.006978511810302734,5
5,4,0.00808572769165039,4
5,4,0.007123708724975586,5
5,4,0.007063150405883789,4
4,3,0.006941080093383789,5
5,4,0.006780147552490234,4
5,4,0.007088899612426758,5
4,4,0.010120153427124023,7
5,4,0.05233931541442871,5
4,4,0.033583879470825195,3
5,4,0.052666425704956055,5
4,4,0.039922475814819336,3
4,4,0.05851435661315918,5
5,3,0.0592188835144043,6
4,3,0.016344070434570312,5
5,4,0.007088422775268555,5
5,4,0.006430625915527344,3
5,4,0.006922006607055664,5
4,4,0.007231473922729492,5
5,4,0.0074481964111328125,7
5,4,0.0067708492279052734,4
4,4,0.006677150726318359,4
5,4,0.006921291351318359,5
5,4,0.006701231002807617,4
4,2,0.008106470108032227,8
3,3,0.006807565689086914,4
5,4,0.007155418395996094,5
5,4,0.007750988006591797,8
5,4,0.007177591323852539,6
6,4,0.0078008174896240234,8
5,4,0.006903171539306641,5
4,4,0.009103536605834961,13
5,4,0.006719112396240234,4
5,4,0.0071980953216552734,5
5,4,0.006673097610473633,4
5,4,0.0068166255950927734,4
5,4,0.006487369537353516,3
4,4,0.0068547725677490234,5
4,4,0.006937503814697266,5
5,4,0.006378173828125,3
5,3,0.008041620254516602,8
4,4,0.007223367691040039,6
4,4,0.00638890266418457,3
5,4,0.0067386627197265625,4
4,4,0.006626605987548828,4
3,2,0.0076787471771240234,8
5,4,0.007360935211181641,6
4,4,0.007292985916137695,6
5,4,0.006960630416870117,4
5,4,0.0066661834716796875,4
4,4,0.006805896759033203,5
4,4,0.006604671478271484,4
5,4,0.007028341293334961,5
5,4,0.007673501968383789,8
5,4,0.006635427474975586,4
7,4,0.0069427490234375,5
5,4,0.006679058074951172,4
6,4,0.007837057113647461,8
6,4,0.0067462921142578125,4
4,4,0.00710606575012207,5
5,4,0.007455587387084961,7
5,4,0.006925344467163086,5
4,4,0.006638765335083008,4
5,3,0.00825953483581543,6
5,4,0.006927967071533203,5
4,4,0.008069038391113281,10
4,4,0.008055448532104492,9
5,4,0.006752490997314453,4
4,4,0.007033109664916992,4
3,4,0.007245540618896484,6
5,4,0.00726008415222168,6
3,3,0.006484508514404297,3
4,4,0.006460428237915039,3
4,4,0.006963491439819336,5
5,4,0.008147001266479492,10
4,4,0.006474018096923828,3
4,4,0.007155418395996094,6
6,4,0.007485151290893555,7
5,4,0.007538318634033203,6
5,3,0.007520914077758789,6
3,3,0.006710052490234375,4
6,4,0.006838083267211914,4
6,5,0.006617307662963867,3
5,4,0.007454872131347656,7
3,2,0.006932497024536133,4
5,4,0.0070002079010009766,5
4,4,0.0067043304443359375,4
4,4,0.006996870040893555,5
4,4,0.006643056869506836,4
5,4,0.006752967834472656,5
5,4,0.006964683532714844,5
4,4,0.00792241096496582,9
5,4,0.0074138641357421875,7
4,4,0.006995677947998047,4
5,4,0.006953716278076172,5
5,4,0.0069580078125,5
5,3,0.007635831832885742,6
4,4,0.006998777389526367,5
4,4,0.0066602230072021484,4
4,4,0.006675004959106445,4
4,4,0.006741046905517578,4
6,4,0.00751948356628418,7
4,4,0.0072553157806396484,6
5,3,0.00757598876953125,6
5,4,0.007118940353393555,5
5,3,0.007756710052490234,5
5,4,0.00655364990234375,3
4,4,0.0066678524017333984,4
5,4,0.0073719024658203125,5
4,4,0.006878852844238281,5
5,4,0.007239580154418945,6
5,4,0.006684064865112305,4
5,4,0.006294727325439453,3
3,4,0.007579803466796875,7
5,5,0.00741887092590332,3
6,4,0.007102489471435547,5
5,4,0.007052183151245117,4
5,4,0.0069849491119384766,5
5,4,0.006765604019165039,4
4,4,0.0064601898193359375,3
6,4,0.006357669830322266,3
5,4,0.007470607757568359,7
3,2,0.010239124298095703,10
5,4,0.0066547393798828125,3
5,4,0.006878376007080078,5
4,4,0.0069577693939208984,5
5,4,0.00676727294921875,4
4,4,0.006969451904296875,5
4,4,0.0067119598388671875,4
5,4,0.008695602416992188,6
5,4,0.014552116394042969,5
4,4,0.006759166717529297,4
6,4,0.007043361663818359,5
4,4,0.006643533706665039,4
6,4,0.00745844841003418,7
5,4,0.007706880569458008,7
4,3,0.007040262222290039,5
5,4,0.009244441986083984,6
4,4,0.0071392059326171875,5
5,4,0.006348133087158203,3
4,4,0.006459236145019531,3
5,4,0.006925344467163086,5
4,4,0.0068089962005615234,4
4,4,0.0070078372955322266,5
4,4,0.006646394729614258,4
4,4,0.0069768428802490234,5
5,4,0.0065081119537353516,3
5,4,0.007033824920654297,5
5,4,0.006961822509765625,5
4,4,0.006983757019042969,5
5,3,0.00781869888305664,6
3,3,0.006441831588745117,3
4,4,0.00702977180480957,5
4,4,0.007418155670166016,4
4,4,0.006821632385253906,4
5,4,0.00697636604309082,5
5,4,0.006818294525146484,4
6,3,0.007783174514770508,6
5,4,0.007493019104003906,7
4,4,0.007261753082275391,6
6,4,0.0075261592864990234,7
